4;3.703564;0.296436
4;4.654301;0.654301
4;3.298657;0.701343
4;3.849166;0.150834
4;4.772861;0.772861
0;0.047035;0.047035
4;4.788708;0.788708
0;0.047035;0.047035
0;0.047035;0.047035
4;3.298657;0.701343
4;4.118115;0.118115
4;4.337979;0.337979
4;3.977666;0.022334
4;3.849166;0.150834
4;4.587965;0.587965
4;3.362887;0.637113
4;3.348927;0.651073
4;4.571342;0.571342
3;3.165600;0.165600
4;3.849166;0.150834
4;4.118115;0.118115
4;4.307100;0.307100
4;4.695678;0.695678
4;3.849166;0.150834
4;3.849166;0.150834
4;3.977666;0.022334
4;4.587965;0.587965
4;3.447143;0.552857
4;4.118115;0.118115
4;4.559140;0.559140
4;4.654301;0.654301
4;4.654301;0.654301
4;3.849166;0.150834
4;3.977666;0.022334
3;3.182490;0.182490
0;0.047035;0.047035
3;2.889694;0.110306
4;4.571342;0.571342
4;4.809404;0.809404
0;0.047035;0.047035
4;3.796568;0.203432
4;4.772861;0.772861
0;0.047035;0.047035
4;4.448374;0.448374
4;4.758513;0.758513
4;3.398730;0.601270
4;4.571342;0.571342
4;4.571342;0.571342
4;3.671027;0.328973
4;4.476243;0.476243
4;4.758513;0.758513
0;0.047035;0.047035
4;4.695678;0.695678
4;4.587965;0.587965
4;4.476243;0.476243
4;4.476243;0.476243
4;4.634811;0.634811
4;4.634811;0.634811
4;4.634811;0.634811
4;4.709650;0.709650
4;4.571342;0.571342
4;4.654301;0.654301
4;4.634811;0.634811
3;3.249602;0.249602
4;4.772861;0.772861
0;0.047035;0.047035
0;0.047035;0.047035
0;0.047035;0.047035
4;4.782033;0.782033
0;0.047035;0.047035
0;0.047035;0.047035
4;4.758513;0.758513
0;0.047035;0.047035
4;4.772861;0.772861
4;3.398730;0.601270
4;4.503800;0.503800
4;4.554283;0.554283
4;4.559140;0.559140
4;4.758513;0.758513
0;0.047035;0.047035
4;4.554283;0.554283
0;0.047035;0.047035
4;4.791689;0.791689
0;0.047035;0.047035
4;4.772861;0.772861
4;4.758513;0.758513
0;0.047035;0.047035
4;4.758513;0.758513
4;4.448374;0.448374
4;4.772861;0.772861
4;4.709650;0.709650
4;4.758513;0.758513
0;0.047035;0.047035
4;4.675020;0.675020
4;4.709650;0.709650
4;4.571342;0.571342
4;4.559140;0.559140
4;4.554283;0.554283
4;4.772861;0.772861
0;0.047035;0.047035
